           flux         loglam           ivar
              E              E              E
                                             
   3.033340E+01   3.582900E+00   5.081575E-02
   3.161557E+01   3.583000E+00   5.014840E-02
   3.086447E+01   3.583100E+00   4.999404E-02
   2.549712E+01   3.583200E+00   5.177799E-02
   1.909384E+01   3.583300E+00   5.284650E-02
   2.183995E+01   3.583400E+00   5.286656E-02
   2.258466E+01   3.583500E+00   5.357458E-02
   1.828893E+01   3.583600E+00   5.885560E-02
   2.536721E+01   3.583700E+00   5.838333E-02
   2.393254E+01   3.583800E+00   5.894097E-02
   2.224046E+01   3.583900E+00   6.038581E-02
   2.561399E+01   3.584000E+00   5.850537E-02
   2.301353E+01   3.584100E+00   5.988437E-02
   2.186734E+01   3.584200E+00   5.977971E-02
   2.622240E+01   3.584300E+00   5.864105E-02
   2.521754E+01   3.584400E+00   5.803829E-02
   2.214758E+01   3.584500E+00   6.110620E-02
   2.379236E+01   3.584600E+00   6.401941E-02
   2.132167E+01   3.584700E+00   7.020112E-02
   2.206020E+01   3.584800E+00   7.122844E-02
   2.762716E+01   3.584900E+00   7.016440E-02
   2.037779E+01   3.585000E+00   7.273706E-02
   2.168395E+01   3.585100E+00   7.123723E-02
   2.435779E+01   3.585200E+00   7.036075E-02
   1.713939E+01   3.585300E+00   7.426573E-02
   1.610696E+01   3.585400E+00   7.689805E-02
   2.085182E+01   3.585500E+00   7.163963E-02
   2.748534E+01   3.585600E+00   7.148072E-02
   1.951224E+01   3.585700E+00   7.767160E-02
   2.283098E+01   3.585800E+00   7.804767E-02
   2.207050E+01   3.585900E+00   7.776895E-02
   2.433009E+01   3.586000E+00   7.961315E-02
   2.299242E+01   3.586100E+00   8.042087E-02
   2.061955E+01   3.586200E+00   8.255249E-02
   2.194485E+01   3.586300E+00   8.238801E-02
   2.086582E+01   3.586400E+00   8.364265E-02
   2.042811E+01   3.586500E+00   8.566990E-02
   2.291612E+01   3.586600E+00   8.416299E-02
   2.500411E+01   3.586700E+00   8.354590E-02
   2.127544E+01   3.586800E+00   8.194144E-02
   1.880853E+01   3.586900E+00   8.426298E-02
   1.635550E+01   3.587000E+00   8.400919E-02
   2.046588E+01   3.587100E+00   8.414690E-02
   2.466910E+01   3.587200E+00   8.104932E-02
   2.118865E+01   3.587300E+00   8.488330E-02
   2.064622E+01   3.587400E+00   8.734712E-02
   3.215348E+01   3.587500E+00   7.768089E-02
   3.476987E+01   3.587600E+00   7.330322E-02
   2.022951E+01   3.587700E+00   8.335402E-02
   2.013749E+01   3.587800E+00   8.692636E-02
   2.131490E+01   3.587900E+00   8.782268E-02
   2.186597E+01   3.588000E+00   9.040344E-02
   2.094171E+01   3.588100E+00   9.137544E-02
   1.865740E+01   3.588200E+00   9.194099E-02
   1.824124E+01   3.588300E+00   8.726247E-02
   1.972276E+01   3.588400E+00   8.691750E-02
   1.770737E+01   3.588500E+00   9.022859E-02
   1.460774E+01   3.588600E+00   9.382343E-02
   2.344121E+01   3.588700E+00   8.938005E-02
   2.234578E+01   3.588800E+00   8.946874E-02
   2.363294E+01   3.588900E+00   9.084746E-02
   2.077415E+01   3.589000E+00   9.276515E-02
   1.455174E+01   3.589100E+00   9.556970E-02
   1.763597E+01   3.589200E+00   9.561396E-02
   2.272545E+01   3.589300E+00   8.705238E-02
   1.569231E+01   3.589400E+00   9.520006E-02
   1.789739E+01   3.589500E+00   9.227896E-02
   2.295834E+01   3.589600E+00   8.822107E-02
   2.188435E+01   3.589700E+00   8.764441E-02
   2.335586E+01   3.589800E+00   8.375924E-02
   2.147531E+01   3.589900E+00   8.364955E-02
   1.694010E+01   3.590000E+00   9.090903E-02
